U_alt,param_N,method_inference,U_H0,N_H0,N_alt,method_GOF,beta,power
exp,0.9,MME,exp,geom,geom,LT_L2,0.001,0.0357
exp,0.1,partial-MME,exp,geom,geom,LT_L2,0.001,0.0186
exp,0.2,partial-MME,exp,geom,geom,LT_L2,0.001,0.0305
exp,0.30000000000000004,partial-MME,exp,geom,geom,LT_L2,0.001,0.0327
exp,0.4,partial-MME,exp,geom,geom,LT_L2,0.001,0.0403
exp,0.5,partial-MME,exp,geom,geom,LT_L2,0.001,0.0423
exp,0.6,partial-MME,exp,geom,geom,LT_L2,0.001,0.0367
exp,0.7000000000000001,partial-MME,exp,geom,geom,LT_L2,0.001,0.0365
exp,0.8,partial-MME,exp,geom,geom,LT_L2,0.001,0.0385
exp,0.9,partial-MME,exp,geom,geom,LT_L2,0.001,0.0336
exp,0.1,MME,exp,geom,geom,LT_L2,0.01,0.0396
exp,0.2,MME,exp,geom,geom,LT_L2,0.01,0.0581
exp,0.30000000000000004,MME,exp,geom,geom,LT_L2,0.01,0.0517
exp,0.4,MME,exp,geom,geom,LT_L2,0.01,0.0471
exp,0.5,MME,exp,geom,geom,LT_L2,0.01,0.049
exp,0.6,MME,exp,geom,geom,LT_L2,0.01,0.0468
exp,0.7000000000000001,MME,exp,geom,geom,LT_L2,0.01,0.0349
exp,0.8,MME,exp,geom,geom,LT_L2,0.01,0.0344
exp,0.9,MME,exp,geom,geom,LT_L2,0.01,0.0309
exp,0.1,partial-MME,exp,geom,geom,LT_L2,0.01,0.013
exp,0.2,partial-MME,exp,geom,geom,LT_L2,0.01,0.0169
exp,0.30000000000000004,partial-MME,exp,geom,geom,LT_L2,0.01,0.0211
exp,0.4,partial-MME,exp,geom,geom,LT_L2,0.01,0.0263
exp,0.5,partial-MME,exp,geom,geom,LT_L2,0.01,0.0275
exp,0.6,partial-MME,exp,geom,geom,LT_L2,0.01,0.0304
exp,0.7000000000000001,partial-MME,exp,geom,geom,LT_L2,0.01,0.0279
exp,0.8,partial-MME,exp,geom,geom,LT_L2,0.01,0.0279
exp,0.9,partial-MME,exp,geom,geom,LT_L2,0.01,0.0262
exp,0.1,partial-MME,exp,geom,geom,LT_L2,0.01,0.013
exp,0.2,partial-MME,exp,geom,geom,LT_L2,0.01,0.0169
exp,0.30000000000000004,partial-MME,exp,geom,geom,LT_L2,0.01,0.0211
exp,0.4,partial-MME,exp,geom,geom,LT_L2,0.01,0.0263
exp,0.5,partial-MME,exp,geom,geom,LT_L2,0.01,0.0275
exp,0.6,partial-MME,exp,geom,geom,LT_L2,0.01,0.0304
exp,0.7000000000000001,partial-MME,exp,geom,geom,LT_L2,0.01,0.0279
exp,0.8,partial-MME,exp,geom,geom,LT_L2,0.01,0.0279
exp,0.9,partial-MME,exp,geom,geom,LT_L2,0.01,0.0262
exp,1,MME,exp,pois,pois,CvM,50,0.0521
exp,2,MME,exp,pois,pois,CvM,50,0.0464
exp,3,MME,exp,pois,pois,CvM,50,0.0378
exp,4,MME,exp,pois,pois,CvM,50,0.0325
exp,5,MME,exp,pois,pois,CvM,50,0.0275
exp,6,MME,exp,pois,pois,CvM,50,0.0388
exp,7,MME,exp,pois,pois,CvM,50,0.0504
exp,8,MME,exp,pois,pois,CvM,50,0.0478
exp,9,MME,exp,pois,pois,CvM,50,0.0494
exp,10,MME,exp,pois,pois,CvM,50,0.0487
exp,11,MME,exp,pois,pois,CvM,50,0.0454
exp,12,MME,exp,pois,pois,CvM,50,0.0468
exp,13,MME,exp,pois,pois,CvM,50,0.0515
exp,14,MME,exp,pois,pois,CvM,50,0.0509
exp,15,MME,exp,pois,pois,CvM,50,0.052
exp,16,MME,exp,pois,pois,CvM,50,0.0529
exp,17,MME,exp,pois,pois,CvM,50,0.0538
exp,18,MME,exp,pois,pois,CvM,50,0.0547
exp,19,MME,exp,pois,pois,CvM,50,0.0542
exp,20,MME,exp,pois,pois,CvM,50,0.0548
exp,21,MME,exp,pois,pois,CvM,50,0.0492
exp,22,MME,exp,pois,pois,CvM,50,0.0472
exp,23,MME,exp,pois,pois,CvM,50,0.0461
exp,24,MME,exp,pois,pois,CvM,50,0.0439
exp,25,MME,exp,pois,pois,CvM,50,0.0415
exp,26,MME,exp,pois,pois,CvM,50,0.0378
exp,27,MME,exp,pois,pois,CvM,50,0.0303
exp,28,MME,exp,pois,pois,CvM,50,0.0238
exp,29,MME,exp,pois,pois,CvM,50,0.0175
exp,30,MME,exp,pois,pois,CvM,50,0.0128
exp,1,MME,exp,pois,pois,KS,50,0.0537
exp,2,MME,exp,pois,pois,KS,50,0.0494
exp,3,MME,exp,pois,pois,KS,50,0.0472
exp,4,MME,exp,pois,pois,KS,50,0.0555
exp,5,MME,exp,pois,pois,KS,50,0.0486
exp,6,MME,exp,pois,pois,KS,50,0.0523
exp,7,MME,exp,pois,pois,KS,50,0.0482
exp,8,MME,exp,pois,pois,KS,50,0.0549
exp,9,MME,exp,pois,pois,KS,50,0.0441
exp,10,MME,exp,pois,pois,KS,50,0.0541
exp,11,MME,exp,pois,pois,KS,50,0.0518
exp,12,MME,exp,pois,pois,KS,50,0.048
exp,13,MME,exp,pois,pois,KS,50,0.0452
exp,14,MME,exp,pois,pois,KS,50,0.0458
exp,15,MME,exp,pois,pois,KS,50,0.049
exp,16,MME,exp,pois,pois,KS,50,0.0553
exp,17,MME,exp,pois,pois,KS,50,0.0479
exp,18,MME,exp,pois,pois,KS,50,0.0518
exp,19,MME,exp,pois,pois,KS,50,0.0478
exp,20,MME,exp,pois,pois,KS,50,0.0532
exp,21,MME,exp,pois,pois,KS,50,0.0508
exp,22,MME,exp,pois,pois,KS,50,0.0496
exp,23,MME,exp,pois,pois,KS,50,0.0476
exp,24,MME,exp,pois,pois,KS,50,0.0416
exp,25,MME,exp,pois,pois,KS,50,0.0428
exp,26,MME,exp,pois,pois,KS,50,0.0364
exp,27,MME,exp,pois,pois,KS,50,0.0353
exp,28,MME,exp,pois,pois,KS,50,0.021
exp,29,MME,exp,pois,pois,KS,50,0.0172
exp,30,MME,exp,pois,pois,KS,50,0.008
exp,1,partial-MME,exp,pois,pois,CvM,50,0.0518
exp,2,partial-MME,exp,pois,pois,CvM,50,0.0489
exp,3,partial-MME,exp,pois,pois,CvM,50,0.0459
exp,4,partial-MME,exp,pois,pois,CvM,50,0.0584
exp,5,partial-MME,exp,pois,pois,CvM,50,0.0449
exp,6,partial-MME,exp,pois,pois,CvM,50,0.0493
exp,7,partial-MME,exp,pois,pois,CvM,50,0.0534
exp,8,partial-MME,exp,pois,pois,CvM,50,0.0456
exp,9,partial-MME,exp,pois,pois,CvM,50,0.0407
exp,10,partial-MME,exp,pois,pois,CvM,50,0.0452
exp,11,partial-MME,exp,pois,pois,CvM,50,0.048
exp,12,partial-MME,exp,pois,pois,CvM,50,0.0496
exp,13,partial-MME,exp,pois,pois,CvM,50,0.0523
