U_alt,param_N,method_inference,U_H0,N_H0,N_alt,method_GOF,beta,power
exp,5,MME,exp,pois,pois,LT_ODE,1,0.0496
exp,6,MME,exp,pois,pois,LT_ODE,1,0.0474
exp,7,MME,exp,pois,pois,LT_ODE,1,0.0493
exp,8,MME,exp,pois,pois,LT_ODE,1,0.0485
exp,9,MME,exp,pois,pois,LT_ODE,1,0.0456
exp,10,MME,exp,pois,pois,LT_ODE,1,0.0409
exp,11,MME,exp,pois,pois,LT_ODE,1,0.0466
exp,12,MME,exp,pois,pois,LT_ODE,1,0.048
exp,13,MME,exp,pois,pois,LT_ODE,1,0.0431
exp,14,MME,exp,pois,pois,LT_ODE,1,0.0445
exp,15,MME,exp,pois,pois,LT_ODE,1,0.0513
exp,16,MME,exp,pois,pois,LT_ODE,1,0.0503
exp,17,MME,exp,pois,pois,LT_ODE,1,0.042
exp,18,MME,exp,pois,pois,LT_ODE,1,0.0431
exp,19,MME,exp,pois,pois,LT_ODE,1,0.0403
exp,20,MME,exp,pois,pois,LT_ODE,1,0.0462
exp,21,MME,exp,pois,pois,LT_ODE,1,0.0548
exp,22,MME,exp,pois,pois,LT_ODE,1,0.0494
exp,23,MME,exp,pois,pois,LT_ODE,1,0.051
exp,24,MME,exp,pois,pois,LT_ODE,1,0.0488
exp,25,MME,exp,pois,pois,LT_ODE,1,0.048
exp,26,MME,exp,pois,pois,LT_ODE,1,0.0464
exp,27,MME,exp,pois,pois,LT_ODE,1,0.0483
exp,28,MME,exp,pois,pois,LT_ODE,1,0.0446
exp,29,MME,exp,pois,pois,LT_ODE,1,0.0493
exp,30,MME,exp,pois,pois,LT_ODE,1,0.0453
exp,1,partial-MME,exp,pois,pois,LT_ODE,1,0.045
exp,2,partial-MME,exp,pois,pois,LT_ODE,1,0.0433
exp,3,partial-MME,exp,pois,pois,LT_ODE,1,0.0547
exp,4,partial-MME,exp,pois,pois,LT_ODE,1,0.0534
exp,5,partial-MME,exp,pois,pois,LT_ODE,1,0.041
exp,6,partial-MME,exp,pois,pois,LT_ODE,1,0.0574
exp,7,partial-MME,exp,pois,pois,LT_ODE,1,0.0614
exp,8,partial-MME,exp,pois,pois,LT_ODE,1,0.0396
exp,9,partial-MME,exp,pois,pois,LT_ODE,1,0.0384
exp,10,partial-MME,exp,pois,pois,LT_ODE,1,0.0493
exp,11,partial-MME,exp,pois,pois,LT_ODE,1,0.0389
exp,12,partial-MME,exp,pois,pois,LT_ODE,1,0.0425
exp,13,partial-MME,exp,pois,pois,LT_ODE,1,0.0464
exp,14,partial-MME,exp,pois,pois,LT_ODE,1,0.0472
exp,15,partial-MME,exp,pois,pois,LT_ODE,1,0.0502
exp,16,partial-MME,exp,pois,pois,LT_ODE,1,0.0514
exp,17,partial-MME,exp,pois,pois,LT_ODE,1,0.0503
exp,18,partial-MME,exp,pois,pois,LT_ODE,1,0.0453
exp,19,partial-MME,exp,pois,pois,LT_ODE,1,0.0447
exp,20,partial-MME,exp,pois,pois,LT_ODE,1,0.0423
exp,21,partial-MME,exp,pois,pois,LT_ODE,1,0.0507
exp,22,partial-MME,exp,pois,pois,LT_ODE,1,0.0459
exp,23,partial-MME,exp,pois,pois,LT_ODE,1,0.0474
exp,24,partial-MME,exp,pois,pois,LT_ODE,1,0.0463
exp,25,partial-MME,exp,pois,pois,LT_ODE,1,0.0472
exp,26,partial-MME,exp,pois,pois,LT_ODE,1,0.0485
exp,27,partial-MME,exp,pois,pois,LT_ODE,1,0.0496
exp,28,partial-MME,exp,pois,pois,LT_ODE,1,0.0461
exp,29,partial-MME,exp,pois,pois,LT_ODE,1,0.0405
exp,30,partial-MME,exp,pois,pois,LT_ODE,1,0.0431
exp,0.1,MME,exp,pois,zmpois,CvM,50,0.6881
exp,0.2,MME,exp,pois,zmpois,CvM,50,0.9071
exp,0.30000000000000004,MME,exp,pois,zmpois,CvM,50,0.9849
exp,0.4,MME,exp,pois,zmpois,CvM,50,0.9895
exp,0.5,MME,exp,pois,zmpois,CvM,50,0.9802
exp,0.6,MME,exp,pois,zmpois,CvM,50,0.9432
exp,0.7000000000000001,MME,exp,pois,zmpois,CvM,50,0.8349
exp,0.8,MME,exp,pois,zmpois,CvM,50,0.5925
exp,0.9,MME,exp,pois,zmpois,CvM,50,0.2656
exp,0.1,MME,exp,pois,mpois,CvM,50,0.2214
exp,0.2,MME,exp,pois,mpois,CvM,50,0.1735
exp,0.30000000000000004,MME,exp,pois,mpois,CvM,50,0.0805
exp,0.4,MME,exp,pois,mpois,CvM,50,0.0358
exp,0.5,MME,exp,pois,mpois,CvM,50,0.0243
exp,0.6,MME,exp,pois,mpois,CvM,50,0.035
exp,0.7000000000000001,MME,exp,pois,mpois,CvM,50,0.0786
exp,0.8,MME,exp,pois,mpois,CvM,50,0.125
exp,0.9,MME,exp,pois,mpois,CvM,50,0.1021
exp,0.1,MME,exp,pois,zmpois,KS,50,0.3613
exp,0.2,MME,exp,pois,zmpois,KS,50,0.9199
exp,0.30000000000000004,MME,exp,pois,zmpois,KS,50,0.9795
exp,0.4,MME,exp,pois,zmpois,KS,50,0.9788
exp,0.5,MME,exp,pois,zmpois,KS,50,0.9463
exp,0.6,MME,exp,pois,zmpois,KS,50,0.8733
exp,0.7000000000000001,MME,exp,pois,zmpois,KS,50,0.7117
exp,0.8,MME,exp,pois,zmpois,KS,50,0.4664
exp,0.9,MME,exp,pois,zmpois,KS,50,0.1926
exp,0.1,MME,exp,pois,mpois,KS,50,0.194
exp,0.2,MME,exp,pois,mpois,KS,50,0.1445
exp,0.30000000000000004,MME,exp,pois,mpois,KS,50,0.0696
exp,0.4,MME,exp,pois,mpois,KS,50,0.0413
exp,0.5,MME,exp,pois,mpois,KS,50,0.0612
exp,0.6,MME,exp,pois,mpois,KS,50,0.1218
exp,0.7000000000000001,MME,exp,pois,mpois,KS,50,0.168
exp,0.8,MME,exp,pois,mpois,KS,50,0.1227
exp,0.9,MME,exp,pois,mpois,KS,50,0.0671
exp,0.1,partial-MME,exp,pois,zmpois,CvM,50,0.8433
exp,0.2,partial-MME,exp,pois,zmpois,CvM,50,0.9773
exp,0.30000000000000004,partial-MME,exp,pois,zmpois,CvM,50,0.9864
exp,0.4,partial-MME,exp,pois,zmpois,CvM,50,0.9834
exp,0.5,partial-MME,exp,pois,zmpois,CvM,50,0.9708
exp,0.6,partial-MME,exp,pois,zmpois,CvM,50,0.9363
exp,0.7000000000000001,partial-MME,exp,pois,zmpois,CvM,50,0.8365
exp,0.8,partial-MME,exp,pois,zmpois,CvM,50,0.659
exp,0.9,partial-MME,exp,pois,zmpois,CvM,50,0.3761
exp,0.1,partial-MME,exp,pois,mpois,CvM,50,0.1459
exp,0.2,partial-MME,exp,pois,mpois,CvM,50,0.1949
exp,0.30000000000000004,partial-MME,exp,pois,mpois,CvM,50,0.1306
exp,0.4,partial-MME,exp,pois,mpois,CvM,50,0.0828
exp,0.5,partial-MME,exp,pois,mpois,CvM,50,0.0615
exp,0.6,partial-MME,exp,pois,mpois,CvM,50,0.0905
exp,0.7000000000000001,partial-MME,exp,pois,mpois,CvM,50,0.1705
exp,0.8,partial-MME,exp,pois,mpois,CvM,50,0.216
exp,0.9,partial-MME,exp,pois,mpois,CvM,50,0.1706
exp,0.1,partial-MME,exp,pois,zmpois,KS,50,0.7528
exp,0.2,partial-MME,exp,pois,zmpois,KS,50,0.9363
exp,0.30000000000000004,partial-MME,exp,pois,zmpois,KS,50,0.9515
exp,0.4,partial-MME,exp,pois,zmpois,KS,50,0.9438
exp,0.5,partial-MME,exp,pois,zmpois,KS,50,0.9036
exp,0.6,partial-MME,exp,pois,zmpois,KS,50,0.8267
exp,0.7000000000000001,partial-MME,exp,pois,zmpois,KS,50,0.6917
exp,0.8,partial-MME,exp,pois,zmpois,KS,50,0.4816
exp,0.9,partial-MME,exp,pois,zmpois,KS,50,0.2238
exp,0.1,partial-MME,exp,pois,mpois,KS,50,0.1362
exp,0.2,partial-MME,exp,pois,mpois,KS,50,0.1622
exp,0.30000000000000004,partial-MME,exp,pois,mpois,KS,50,0.1226
exp,0.4,partial-MME,exp,pois,mpois,KS,50,0.0774
exp,0.5,partial-MME,exp,pois,mpois,KS,50,0.0561
exp,0.6,partial-MME,exp,pois,mpois,KS,50,0.0844
exp,0.7000000000000001,partial-MME,exp,pois,mpois,KS,50,0.1389
exp,0.8,partial-MME,exp,pois,mpois,KS,50,0.1964
exp,0.9,partial-MME,exp,pois,mpois,KS,50,0.1753
exp,0.1,MME,exp,pois,zmpois,LT_L2,0.001,0.902
exp,0.2,MME,exp,pois,zmpois,LT_L2,0.001,0.9895
exp,0.30000000000000004,MME,exp,pois,zmpois,LT_L2,0.001,0.9925
exp,0.4,MME,exp,pois,zmpois,LT_L2,0.001,0.9884
exp,0.5,MME,exp,pois,zmpois,LT_L2,0.001,0.9653
exp,0.6,MME,exp,pois,zmpois,LT_L2,0.001,0.9011
exp,0.7000000000000001,MME,exp,pois,zmpois,LT_L2,0.001,0.7454
exp,0.8,MME,exp,pois,zmpois,LT_L2,0.001,0.4852
exp,0.9,MME,exp,pois,zmpois,LT_L2,0.001,0.2322
exp,0.1,MME,exp,pois,mpois,LT_L2,0.001,0.1999
exp,0.2,MME,exp,pois,mpois,LT_L2,0.001,0.1342
exp,0.30000000000000004,MME,exp,pois,mpois,LT_L2,0.001,0.073
exp,0.4,MME,exp,pois,mpois,LT_L2,0.001,0.0366
exp,0.5,MME,exp,pois,mpois,LT_L2,0.001,0.0556
exp,0.6,MME,exp,pois,mpois,LT_L2,0.001,0.1107
exp,0.7000000000000001,MME,exp,pois,mpois,LT_L2,0.001,0.2344
exp,0.8,MME,exp,pois,mpois,LT_L2,0.001,0.2927
exp,0.9,MME,exp,pois,mpois,LT_L2,0.001,0.2498
exp,0.1,partial-MME,exp,pois,zmpois,LT_L2,0.001,0.125
exp,0.2,partial-MME,exp,pois,zmpois,LT_L2,0.001,0.3439
exp,0.30000000000000004,partial-MME,exp,pois,zmpois,LT_L2,0.001,0.3188
exp,0.4,partial-MME,exp,pois,zmpois,LT_L2,0.001,0.2229
exp,0.5,partial-MME,exp,pois,zmpois,LT_L2,0.001,0.1773
exp,0.6,partial-MME,exp,pois,zmpois,LT_L2,0.001,0.0557
exp,0.7000000000000001,partial-MME,exp,pois,zmpois,LT_L2,0.001,0.0373
exp,0.8,partial-MME,exp,pois,zmpois,LT_L2,0.001,0.0113
exp,0.9,partial-MME,exp,pois,zmpois,LT_L2,0.001,0.0121
exp,0.1,partial-MME,exp,pois,mpois,LT_L2,0.001,0.0798
exp,0.2,partial-MME,exp,pois,mpois,LT_L2,0.001,0.0847
exp,0.30000000000000004,partial-MME,exp,pois,mpois,LT_L2,0.001,0.0913
exp,0.4,partial-MME,exp,pois,mpois,LT_L2,0.001,0.0887
exp,0.5,partial-MME,exp,pois,mpois,LT_L2,0.001,0.0706
exp,0.6,partial-MME,exp,pois,mpois,LT_L2,0.001,0.0522
exp,0.7000000000000001,partial-MME,exp,pois,mpois,LT_L2,0.001,0.0422
exp,0.8,partial-MME,exp,pois,mpois,LT_L2,0.001,0.0379
exp,0.9,partial-MME,exp,pois,mpois,LT_L2,0.001,0.0136
exp,0.1,MME,exp,pois,zmpois,LT_L2,0.01,0.9012
exp,0.2,MME,exp,pois,zmpois,LT_L2,0.01,0.9894
exp,0.30000000000000004,MME,exp,pois,zmpois,LT_L2,0.01,0.9913
exp,0.4,MME,exp,pois,zmpois,LT_L2,0.01,0.9853
exp,0.5,MME,exp,pois,zmpois,LT_L2,0.01,0.959
exp,0.6,MME,exp,pois,zmpois,LT_L2,0.01,0.8946
exp,0.7000000000000001,MME,exp,pois,zmpois,LT_L2,0.01,0.7391
exp,0.8,MME,exp,pois,zmpois,LT_L2,0.01,0.5019
exp,0.9,MME,exp,pois,zmpois,LT_L2,0.01,0.2151
exp,0.1,MME,exp,pois,mpois,LT_L2,0.01,0.1876
exp,0.2,MME,exp,pois,mpois,LT_L2,0.01,0.1403
exp,0.30000000000000004,MME,exp,pois,mpois,LT_L2,0.01,0.0618
exp,0.4,MME,exp,pois,mpois,LT_L2,0.01,0.0396
exp,0.5,MME,exp,pois,mpois,LT_L2,0.01,0.0467
exp,0.6,MME,exp,pois,mpois,LT_L2,0.01,0.122
exp,0.7000000000000001,MME,exp,pois,mpois,LT_L2,0.01,0.2243
exp,0.8,MME,exp,pois,mpois,LT_L2,0.01,0.3032
exp,0.9,MME,exp,pois,mpois,LT_L2,0.01,0.2622
exp,0.1,partial-MME,exp,pois,zmpois,LT_L2,0.01,0.494
exp,0.2,partial-MME,exp,pois,zmpois,LT_L2,0.01,0.7617
exp,0.30000000000000004,partial-MME,exp,pois,zmpois,LT_L2,0.01,0.812
exp,0.4,partial-MME,exp,pois,zmpois,LT_L2,0.01,0.8155
exp,0.5,partial-MME,exp,pois,zmpois,LT_L2,0.01,0.749
exp,0.6,partial-MME,exp,pois,zmpois,LT_L2,0.01,0.6036
exp,0.7000000000000001,partial-MME,exp,pois,zmpois,LT_L2,0.01,0.3987
exp,0.8,partial-MME,exp,pois,zmpois,LT_L2,0.01,0.1872
exp,0.9,partial-MME,exp,pois,zmpois,LT_L2,0.01,0.0314
exp,0.1,partial-MME,exp,pois,mpois,LT_L2,0.01,0.0978
exp,0.2,partial-MME,exp,pois,mpois,LT_L2,0.01,0.1286
exp,0.30000000000000004,partial-MME,exp,pois,mpois,LT_L2,0.01,0.1309
exp,0.4,partial-MME,exp,pois,mpois,LT_L2,0.01,0.1006
exp,0.5,partial-MME,exp,pois,mpois,LT_L2,0.01,0.0688
exp,0.6,partial-MME,exp,pois,mpois,LT_L2,0.01,0.0542
exp,0.7000000000000001,partial-MME,exp,pois,mpois,LT_L2,0.01,0.0448
exp,0.8,partial-MME,exp,pois,mpois,LT_L2,0.01,0.0538
exp,0.9,partial-MME,exp,pois,mpois,LT_L2,0.01,0.0245
exp,0.1,MME,exp,pois,zmpois,LT_ODE,0.1,0.9263
exp,0.2,MME,exp,pois,zmpois,LT_ODE,0.1,0.9944
exp,0.30000000000000004,MME,exp,pois,zmpois,LT_ODE,0.1,0.9954
exp,0.4,MME,exp,pois,zmpois,LT_ODE,0.1,0.9898
exp,0.5,MME,exp,pois,zmpois,LT_ODE,0.1,0.9606
exp,0.6,MME,exp,pois,zmpois,LT_ODE,0.1,0.8763
exp,0.7000000000000001,MME,exp,pois,zmpois,LT_ODE,0.1,0.6733
exp,0.8,MME,exp,pois,zmpois,LT_ODE,0.1,0.3919
exp,0.9,MME,exp,pois,zmpois,LT_ODE,0.1,0.1262
exp,0.1,MME,exp,pois,mpois,LT_ODE,0.1,0.2002
exp,0.2,MME,exp,pois,mpois,LT_ODE,0.1,0.1834
exp,0.30000000000000004,MME,exp,pois,mpois,LT_ODE,0.1,0.1132
exp,0.4,MME,exp,pois,mpois,LT_ODE,0.1,0.0562
exp,0.5,MME,exp,pois,mpois,LT_ODE,0.1,0.0582
exp,0.6,MME,exp,pois,mpois,LT_ODE,0.1,0.1158
exp,0.7000000000000001,MME,exp,pois,mpois,LT_ODE,0.1,0.2228
exp,0.8,MME,exp,pois,mpois,LT_ODE,0.1,0.3274
exp,0.9,MME,exp,pois,mpois,LT_ODE,0.1,0.2998
exp,0.1,partial-MME,exp,pois,zmpois,LT_ODE,0.1,0.4912
exp,0.2,partial-MME,exp,pois,zmpois,LT_ODE,0.1,0.7754
exp,0.30000000000000004,partial-MME,exp,pois,zmpois,LT_ODE,0.1,0.8508
exp,0.4,partial-MME,exp,pois,zmpois,LT_ODE,0.1,0.8557
exp,0.5,partial-MME,exp,pois,zmpois,LT_ODE,0.1,0.8119
exp,0.6,partial-MME,exp,pois,zmpois,LT_ODE,0.1,0.7078
exp,0.7000000000000001,partial-MME,exp,pois,zmpois,LT_ODE,0.1,0.5846
exp,0.8,partial-MME,exp,pois,zmpois,LT_ODE,0.1,0.3856
exp,0.9,partial-MME,exp,pois,zmpois,LT_ODE,0.1,0.136
exp,0.1,partial-MME,exp,pois,mpois,LT_ODE,0.1,0.1002
exp,0.2,partial-MME,exp,pois,mpois,LT_ODE,0.1,0.1308
exp,0.30000000000000004,partial-MME,exp,pois,mpois,LT_ODE,0.1,0.1277
exp,0.4,partial-MME,exp,pois,mpois,LT_ODE,0.1,0.1019
exp,0.5,partial-MME,exp,pois,mpois,LT_ODE,0.1,0.0761
exp,0.6,partial-MME,exp,pois,mpois,LT_ODE,0.1,0.0557
exp,0.7000000000000001,partial-MME,exp,pois,mpois,LT_ODE,0.1,0.0555
exp,0.8,partial-MME,exp,pois,mpois,LT_ODE,0.1,0.0703
exp,0.9,partial-MME,exp,pois,mpois,LT_ODE,0.1,0.0459
exp,0.1,MME,exp,pois,zmpois,LT_ODE,1,0.7238
exp,0.2,MME,exp,pois,zmpois,LT_ODE,1,0.9188
exp,0.30000000000000004,MME,exp,pois,zmpois,LT_ODE,1,0.949
exp,0.4,MME,exp,pois,zmpois,LT_ODE,1,0.9258
exp,0.5,MME,exp,pois,zmpois,LT_ODE,1,0.8729
exp,0.6,MME,exp,pois,zmpois,LT_ODE,1,0.7787
exp,0.7000000000000001,MME,exp,pois,zmpois,LT_ODE,1,0.6331
exp,0.8,MME,exp,pois,zmpois,LT_ODE,1,0.4399
exp,0.9,MME,exp,pois,zmpois,LT_ODE,1,0.2069
exp,0.1,MME,exp,pois,mpois,LT_ODE,1,0.1241
exp,0.2,MME,exp,pois,mpois,LT_ODE,1,0.0661
exp,0.30000000000000004,MME,exp,pois,mpois,LT_ODE,1,0.028
exp,0.4,MME,exp,pois,mpois,LT_ODE,1,0.0332
exp,0.5,MME,exp,pois,mpois,LT_ODE,1,0.0901
exp,0.6,MME,exp,pois,mpois,LT_ODE,1,0.1884
exp,0.7000000000000001,MME,exp,pois,mpois,LT_ODE,1,0.2874
exp,0.8,MME,exp,pois,mpois,LT_ODE,1,0.3263
exp,0.9,MME,exp,pois,mpois,LT_ODE,1,0.2451
exp,0.1,partial-MME,exp,pois,zmpois,LT_ODE,1,0.8453
exp,0.2,partial-MME,exp,pois,zmpois,LT_ODE,1,0.9796
exp,0.30000000000000004,partial-MME,exp,pois,zmpois,LT_ODE,1,0.98740000000000006
exp,0.4,partial-MME,exp,pois,zmpois,LT_ODE,1,0.98
exp,0.5,partial-MME,exp,pois,zmpois,LT_ODE,1,0.9596
exp,0.6,partial-MME,exp,pois,zmpois,LT_ODE,1,0.9095
exp,0.7000000000000001,partial-MME,exp,pois,zmpois,LT_ODE,1,0.794
exp,0.8,partial-MME,exp,pois,zmpois,LT_ODE,1,0.5891
exp,0.9,partial-MME,exp,pois,zmpois,LT_ODE,1,0.2901
exp,0.1,partial-MME,exp,pois,mpois,LT_ODE,1,0.1412
exp,0.2,partial-MME,exp,pois,mpois,LT_ODE,1,0.1776
exp,0.30000000000000004,partial-MME,exp,pois,mpois,LT_ODE,1,0.1494
exp,0.4,partial-MME,exp,pois,mpois,LT_ODE,1,0.0943
exp,0.5,partial-MME,exp,pois,mpois,LT_ODE,1,0.0532
exp,0.6,partial-MME,exp,pois,mpois,LT_ODE,1,0.0574
exp,0.7000000000000001,partial-MME,exp,pois,mpois,LT_ODE,1,0.0846
exp,0.8,partial-MME,exp,pois,mpois,LT_ODE,1,0.1243
exp,0.9,partial-MME,exp,pois,mpois,LT_ODE,1,0.1066
