U_alt,shape_U,U_H0,method_GOF,beta,power
gamma,1.8,invgauss,KS,35,0.0621
gamma,2,invgauss,KS,35,0.0426
weibull,0.2,exp,KS,35,1
weibull,0.4,exp,KS,35,1
weibull,0.6000000000000001,exp,KS,35,0.9257
weibull,0.8,exp,KS,35,0.3066
weibull,1,exp,KS,35,0.0513
weibull,1.2,exp,KS,35,0.1798
weibull,1.4000000000000001,exp,KS,35,0.469
weibull,1.6,exp,KS,35,0.7068
weibull,1.8,exp,KS,35,0.8862
weibull,2,exp,KS,35,0.9605
weibull,0.2,gamma,KS,35,0.4548
weibull,0.4,gamma,KS,35,0.3203
weibull,0.6000000000000001,gamma,KS,35,0.148
weibull,0.8,gamma,KS,35,0.0709
weibull,1,gamma,KS,35,0.052
weibull,1.2,gamma,KS,35,0.0417
weibull,1.4000000000000001,gamma,KS,35,0.0338
weibull,1.6,gamma,KS,35,0.0288
weibull,1.8,gamma,KS,35,0.0292
weibull,2,gamma,KS,35,0.0292
weibull,0.2,invgauss,KS,35,0.9949
weibull,0.4,invgauss,KS,35,0.7376
weibull,0.6000000000000001,invgauss,KS,35,0.5299
weibull,0.8,invgauss,KS,35,0.3325
weibull,1,invgauss,KS,35,0.2377
weibull,1.2,invgauss,KS,35,0.1688
weibull,1.4000000000000001,invgauss,KS,35,0.0846
weibull,1.6,invgauss,KS,35,0.05
weibull,1.8,invgauss,KS,35,0.0322
weibull,2,invgauss,KS,35,0.0299
invgauss,0.2,exp,KS,35,1
invgauss,0.4,exp,KS,35,0.9681
invgauss,0.6000000000000001,exp,KS,35,0.6777
invgauss,0.8,exp,KS,35,0.3709
invgauss,1,exp,KS,35,0.1567
invgauss,1.2,exp,KS,35,0.1228
invgauss,1.4000000000000001,exp,KS,35,0.1619
invgauss,1.6,exp,KS,35,0.2221
invgauss,1.8,exp,KS,35,0.3236
invgauss,2,exp,KS,35,0.4194
invgauss,0.2,gamma,KS,35,0.0312
invgauss,0.4,gamma,KS,35,0.0502
invgauss,0.6000000000000001,gamma,KS,35,0.109
invgauss,0.8,gamma,KS,35,0.1722
invgauss,1,gamma,KS,35,0.2262
invgauss,1.2,gamma,KS,35,0.2759
invgauss,1.4000000000000001,gamma,KS,35,0.3174
invgauss,1.6,gamma,KS,35,0.369
invgauss,1.8,gamma,KS,35,0.4177
invgauss,2,gamma,KS,35,0.4314
invgauss,0.2,invgauss,KS,35,0.0267
invgauss,0.4,invgauss,KS,35,0.0274
invgauss,0.6000000000000001,invgauss,KS,35,0.0423
invgauss,0.8,invgauss,KS,35,0.049
invgauss,1,invgauss,KS,35,0.0432
invgauss,1.2,invgauss,KS,35,0.051
invgauss,1.4000000000000001,invgauss,KS,35,0.0526
invgauss,1.6,invgauss,KS,35,0.0513
invgauss,1.8,invgauss,KS,35,0.0538
invgauss,2,invgauss,KS,35,0.0514
gamma,0.2,exp,LT_L2,1e-4,1
gamma,0.4,exp,LT_L2,1e-4,0.9952
gamma,0.6000000000000001,exp,LT_L2,1e-4,0.7175
gamma,0.8,exp,LT_L2,1e-4,0.2596
gamma,1,exp,LT_L2,1e-4,0.0516
gamma,1.2,exp,LT_L2,1e-4,0.0096
gamma,1.4000000000000001,exp,LT_L2,1e-4,0.0023
gamma,1.6,exp,LT_L2,1e-4,7e-4
gamma,1.8,exp,LT_L2,1e-4,9e-4
gamma,2,exp,LT_L2,1e-4,0.008
gamma,0.2,gamma,LT_L2,1e-4,0.0479
gamma,0.4,gamma,LT_L2,1e-4,0.0372
gamma,0.6000000000000001,gamma,LT_L2,1e-4,0.0353
gamma,0.8,gamma,LT_L2,1e-4,0.0268
gamma,1,gamma,LT_L2,1e-4,0.0249
gamma,1.2,gamma,LT_L2,1e-4,0.0231
gamma,1.4000000000000001,gamma,LT_L2,1e-4,0.0283
gamma,1.6,gamma,LT_L2,1e-4,0.0225
gamma,1.8,gamma,LT_L2,1e-4,0.0272
gamma,2,gamma,LT_L2,1e-4,0.0247
gamma,0.2,invgauss,LT_L2,1e-4,1
gamma,0.4,invgauss,LT_L2,1e-4,0.9993
gamma,0.6000000000000001,invgauss,LT_L2,1e-4,0.9884
gamma,0.8,invgauss,LT_L2,1e-4,0.9514
gamma,1,invgauss,LT_L2,1e-4,0.8726
gamma,1.2,invgauss,LT_L2,1e-4,0.7702
gamma,1.4000000000000001,invgauss,LT_L2,1e-4,0.6559
gamma,1.6,invgauss,LT_L2,1e-4,0.5886
gamma,1.8,invgauss,LT_L2,1e-4,0.4783
gamma,2,invgauss,LT_L2,1e-4,0.4083
weibull,0.2,exp,LT_L2,1e-4,1
weibull,0.4,exp,LT_L2,1e-4,1
weibull,0.6000000000000001,exp,LT_L2,1e-4,0.9504
weibull,0.8,exp,LT_L2,1e-4,0.3628
weibull,1,exp,LT_L2,1e-4,0.0506
weibull,1.2,exp,LT_L2,1e-4,0.008
weibull,1.4000000000000001,exp,LT_L2,1e-4,0.0024
weibull,1.6,exp,LT_L2,1e-4,0.0117
weibull,1.8,exp,LT_L2,1e-4,0.0294
weibull,2,exp,LT_L2,1e-4,0.0967
weibull,0.2,gamma,LT_L2,1e-4,0.2794
weibull,0.4,gamma,LT_L2,1e-4,0.3317
weibull,0.6000000000000001,gamma,LT_L2,1e-4,0.1133
weibull,0.8,gamma,LT_L2,1e-4,0.0375
weibull,1,gamma,LT_L2,1e-4,0.0213
weibull,1.2,gamma,LT_L2,1e-4,0.0263
weibull,1.4000000000000001,gamma,LT_L2,1e-4,0.0299
weibull,1.6,gamma,LT_L2,1e-4,0.0303
weibull,1.8,gamma,LT_L2,1e-4,0.029
weibull,2,gamma,LT_L2,1e-4,0.0235
weibull,0.2,invgauss,LT_L2,1e-4,1
weibull,0.4,invgauss,LT_L2,1e-4,0.9991
weibull,0.6000000000000001,invgauss,LT_L2,1e-4,0.9859
weibull,0.8,invgauss,LT_L2,1e-4,0.938
weibull,1,invgauss,LT_L2,1e-4,0.8619
weibull,1.2,invgauss,LT_L2,1e-4,0.7952
weibull,1.4000000000000001,invgauss,LT_L2,1e-4,0.6851
weibull,1.6,invgauss,LT_L2,1e-4,0.5575
weibull,1.8,invgauss,LT_L2,1e-4,0.4697
weibull,2,invgauss,LT_L2,1e-4,0.372
invgauss,0.2,exp,LT_L2,1e-4,0.6103
invgauss,0.4,exp,LT_L2,1e-4,0.0549
invgauss,0.6000000000000001,exp,LT_L2,1e-4,0.0026
invgauss,0.8,exp,LT_L2,1e-4,0.0016
invgauss,1,exp,LT_L2,1e-4,0
invgauss,1.2,exp,LT_L2,1e-4,0
invgauss,1.4000000000000001,exp,LT_L2,1e-4,0
invgauss,1.6,exp,LT_L2,1e-4,0
invgauss,1.8,exp,LT_L2,1e-4,0
invgauss,2,exp,LT_L2,1e-4,0
invgauss,0.2,gamma,LT_L2,1e-4,0.0518
invgauss,0.4,gamma,LT_L2,1e-4,0.0636
invgauss,0.6000000000000001,gamma,LT_L2,1e-4,0.0564
invgauss,0.8,gamma,LT_L2,1e-4,0.0532
invgauss,1,gamma,LT_L2,1e-4,0.0485
invgauss,1.2,gamma,LT_L2,1e-4,0.046
invgauss,1.4000000000000001,gamma,LT_L2,1e-4,0.0583
invgauss,1.6,gamma,LT_L2,1e-4,0.0657
invgauss,1.8,gamma,LT_L2,1e-4,0.0789
invgauss,2,gamma,LT_L2,1e-4,0.0909
invgauss,0.2,invgauss,LT_L2,1e-4,0.038
invgauss,0.4,invgauss,LT_L2,1e-4,0.0395
invgauss,0.6000000000000001,invgauss,LT_L2,1e-4,0.0418
invgauss,0.8,invgauss,LT_L2,1e-4,0.0439
invgauss,1,invgauss,LT_L2,1e-4,0.0458
invgauss,1.2,invgauss,LT_L2,1e-4,0.0469
invgauss,1.4000000000000001,invgauss,LT_L2,1e-4,0.0506
invgauss,1.6,invgauss,LT_L2,1e-4,0.0497
invgauss,1.8,invgauss,LT_L2,1e-4,0.0464
invgauss,2,invgauss,LT_L2,1e-4,0.046
gamma,0.2,exp,LT_L2,0.001,1
gamma,0.4,exp,LT_L2,0.001,0.9959
gamma,0.6000000000000001,exp,LT_L2,0.001,0.7601
gamma,0.8,exp,LT_L2,0.001,0.2515
gamma,1,exp,LT_L2,0.001,0.0433
gamma,1.2,exp,LT_L2,0.001,0.0083
gamma,1.4000000000000001,exp,LT_L2,0.001,0.004
gamma,1.6,exp,LT_L2,0.001,0.0061
gamma,1.8,exp,LT_L2,0.001,0.0398
gamma,2,exp,LT_L2,0.001,0.062
gamma,0.2,gamma,LT_L2,0.001,0.051
gamma,0.4,gamma,LT_L2,0.001,0.0463
gamma,0.6000000000000001,gamma,LT_L2,0.001,0.0378
gamma,0.8,gamma,LT_L2,0.001,0.034
gamma,1,gamma,LT_L2,0.001,0.0288
gamma,1.2,gamma,LT_L2,0.001,0.0256
gamma,1.4000000000000001,gamma,LT_L2,0.001,0.0273
gamma,1.6,gamma,LT_L2,0.001,0.026
gamma,1.8,gamma,LT_L2,0.001,0.0285
gamma,2,gamma,LT_L2,0.001,0.0286
gamma,0.2,invgauss,LT_L2,0.001,1
gamma,0.4,invgauss,LT_L2,0.001,0.9994
gamma,0.6000000000000001,invgauss,LT_L2,0.001,0.989
gamma,0.8,invgauss,LT_L2,0.001,0.9438
gamma,1,invgauss,LT_L2,0.001,0.8715
gamma,1.2,invgauss,LT_L2,0.001,0.7701
gamma,1.4000000000000001,invgauss,LT_L2,0.001,0.664
gamma,1.6,invgauss,LT_L2,0.001,0.5726
gamma,1.8,invgauss,LT_L2,0.001,0.4746
gamma,2,invgauss,LT_L2,0.001,0.4038
weibull,0.2,exp,LT_L2,0.001,1
weibull,0.4,exp,LT_L2,0.001,1
weibull,0.6000000000000001,exp,LT_L2,0.001,0.9653
weibull,0.8,exp,LT_L2,0.001,0.4184
weibull,1,exp,LT_L2,0.001,0.0492
weibull,1.2,exp,LT_L2,0.001,0.009
weibull,1.4000000000000001,exp,LT_L2,0.001,0.0242
weibull,1.6,exp,LT_L2,0.001,0.1358
weibull,1.8,exp,LT_L2,0.001,0.3117
weibull,2,exp,LT_L2,0.001,0.4176
weibull,0.2,gamma,LT_L2,0.001,0.0604
weibull,0.4,gamma,LT_L2,0.001,0.3403
weibull,0.6000000000000001,gamma,LT_L2,0.001,0.1394
weibull,0.8,gamma,LT_L2,0.001,0.0557
weibull,1,gamma,LT_L2,0.001,0.0302
weibull,1.2,gamma,LT_L2,0.001,0.0267
weibull,1.4000000000000001,gamma,LT_L2,0.001,0.0306
weibull,1.6,gamma,LT_L2,0.001,0.034
weibull,1.8,gamma,LT_L2,0.001,0.0272
weibull,2,gamma,LT_L2,0.001,0.0246
weibull,0.2,invgauss,LT_L2,0.001,1
weibull,0.4,invgauss,LT_L2,0.001,0.9997
weibull,0.6000000000000001,invgauss,LT_L2,0.001,0.9866
weibull,0.8,invgauss,LT_L2,0.001,0.9403
weibull,1,invgauss,LT_L2,0.001,0.8699
weibull,1.2,invgauss,LT_L2,0.001,0.7712
weibull,1.4000000000000001,invgauss,LT_L2,0.001,0.6742
weibull,1.6,invgauss,LT_L2,0.001,0.5688
weibull,1.8,invgauss,LT_L2,0.001,0.471
weibull,2,invgauss,LT_L2,0.001,0.3831
invgauss,0.2,exp,LT_L2,0.001,0.9754
invgauss,0.4,exp,LT_L2,0.001,0.6033
invgauss,0.6000000000000001,exp,LT_L2,0.001,0.08
invgauss,0.8,exp,LT_L2,0.001,0.0491
invgauss,1,exp,LT_L2,0.001,0.0041
invgauss,1.2,exp,LT_L2,0.001,0.001
invgauss,1.4000000000000001,exp,LT_L2,0.001,3e-4
invgauss,1.6,exp,LT_L2,0.001,0
invgauss,1.8,exp,LT_L2,0.001,2e-4
invgauss,2,exp,LT_L2,0.001,0.0011
invgauss,0.2,gamma,LT_L2,0.001,0.0502
invgauss,0.4,gamma,LT_L2,0.001,0.0581
invgauss,0.6000000000000001,gamma,LT_L2,0.001,0.0666
invgauss,0.8,gamma,LT_L2,0.001,0.0696
invgauss,1,gamma,LT_L2,0.001,0.0863
invgauss,1.2,gamma,LT_L2,0.001,0.0899
invgauss,1.4000000000000001,gamma,LT_L2,0.001,0.1149
invgauss,1.6,gamma,LT_L2,0.001,0.1314
invgauss,1.8,gamma,LT_L2,0.001,0.1562
invgauss,2,gamma,LT_L2,0.001,0.18
invgauss,0.2,invgauss,LT_L2,0.001,0.0422
invgauss,0.4,invgauss,LT_L2,0.001,0.0457
invgauss,0.6000000000000001,invgauss,LT_L2,0.001,0.0473
invgauss,0.8,invgauss,LT_L2,0.001,0.0449
invgauss,1,invgauss,LT_L2,0.001,0.0468
invgauss,1.2,invgauss,LT_L2,0.001,0.0434
invgauss,1.4000000000000001,invgauss,LT_L2,0.001,0.0503
invgauss,1.6,invgauss,LT_L2,0.001,0.0528
invgauss,1.8,invgauss,LT_L2,0.001,0.049
invgauss,2,invgauss,LT_L2,0.001,0.0454
gamma,0.2,exp,LT_L2,0.01,1
gamma,0.4,exp,LT_L2,0.01,0.9974
gamma,0.6000000000000001,exp,LT_L2,0.01,0.8037
gamma,0.8,exp,LT_L2,0.01,0.2889
gamma,1,exp,LT_L2,0.01,0.0492
gamma,1.2,exp,LT_L2,0.01,0.0428
gamma,1.4000000000000001,exp,LT_L2,0.01,0.1394
gamma,1.6,exp,LT_L2,0.01,0.281
gamma,1.8,exp,LT_L2,0.01,0.4765
gamma,2,exp,LT_L2,0.01,0.651
gamma,0.2,gamma,LT_L2,0.01,0.0582
gamma,0.4,gamma,LT_L2,0.01,0.0449
gamma,0.6000000000000001,gamma,LT_L2,0.01,0.0449
gamma,0.8,gamma,LT_L2,0.01,0.0397
gamma,1,gamma,LT_L2,0.01,0.0375
gamma,1.2,gamma,LT_L2,0.01,0.0375
gamma,1.4000000000000001,gamma,LT_L2,0.01,0.0337
gamma,1.6,gamma,LT_L2,0.01,0.0335
gamma,1.8,gamma,LT_L2,0.01,0.0352
gamma,2,gamma,LT_L2,0.01,0.0358
gamma,0.2,invgauss,LT_L2,0.01,1
gamma,0.4,invgauss,LT_L2,0.01,0.9993
gamma,0.6000000000000001,invgauss,LT_L2,0.01,0.9872
gamma,0.8,invgauss,LT_L2,0.01,0.9407
gamma,1,invgauss,LT_L2,0.01,0.8582
gamma,1.2,invgauss,LT_L2,0.01,0.7572
gamma,1.4000000000000001,invgauss,LT_L2,0.01,0.6429
